gen,best_a,best_b,mean_a,mean_b,max_level_a,max_level_b,winner
0,2006.9,2026.9,1166.93,1208.52,2,2,-1
1,2036.8,2061.8,1486.53,1357.69,2,2,-1
2,2993.1,2993.1,1836.57,1741.12,3,3,-1
3,3030.3,3060.3,1817.9,2025.7,3,3,-1
4,2042.5,3077.5,1787.06,1996.8,2,3,-1
5,3006.5,2101.5,1958.09,1999.2,3,2,-1
6,3032.0,3012.0,1938.96,2022.5,3,3,-1
7,3085.0,3070.0,1859.5,2098.5,3,3,-1
8,3064.4,3064.4,2005.01,2134.9,3,3,-1
9,3039.2,3084.2,1890.52,2149.7,3,3,-1
10,3118.6,3073.6,2160.65,2148.6,3,3,-1
11,3045.0,3055.0,1893.17,2094.7,3,3,-1
12,3114.3,3079.3,1929.55,2059.97,3,3,-1
13,3075.0,3105.0,1976.2,2211.4,3,3,-1
14,3068.4,3118.4,2052.01,2191.66,3,3,-1
15,2213.4,3113.4,1852.78,2142.85,2,3,-1
16,3052.4,3052.4,2006.2,2103.96,3,3,-1
17,3108.2,3073.2,1968.8,2173.18,3,3,-1
18,3108.0,3150.0,2108.25,2184.69,3,3,-1
19,3089.7,3197.3,2080.68,2230.87,3,3,-1
20,3134.1,3079.1,2076.72,2093.08,3,3,-1
21,3028.6,3073.6,1963.52,2142.76,3,3,-1
22,3134.0,3130.0,1970.66,2116.58,3,3,-1
23,3065.2,2200.0,2070.96,2069.41,3,2,-1
24,3008.0,3150.4,1989.36,2145.94,3,3,-1
25,3113.8,3360.5,2119.93,2278.78,3,3,-1
26,3147.2,3855.6,2098.45,2345.76,3,3,-1
27,3120.1,3952.3,2161.37,2443.58,3,3,-1
28,3063.0,3608.0,2219.57,2336.4,3,3,-1
29,3045.6,3243.5,2093.22,2168.03,3,3,-1
30,3030.8,3096.0,1961.87,2094.86,3,3,-1
31,3022.1,3185.9,1941.6,2141.83,3,3,-1
32,3057.2,2210.8,1880.79,2038.84,3,2,-1
33,3052.7,3064.2,1825.71,2080.88,3,3,-1
34,3043.8,3456.2,1953.69,2212.37,3,3,-1
35,2996.8,3201.5,2010.82,2228.76,3,3,-1
36,3106.2,3149.4,1895.13,2062.35,3,3,-1
37,2966.8,3070.2,1830.62,1975.01,3,3,-1
38,3184.6,3832.7,2125.49,2448.23,3,3,-1
39,3005.1,2347.5,2032.08,2000.51,3,2,-1
40,3007.9,4248.5,2079.03,2701.63,3,3,-1
41,3017.4,3828.2,2191.24,2539.12,3,3,-1
42,3075.0,3255.8,2341.5,2239.3,3,3,-1
43,3081.1,4059.6,2254.36,2373.93,3,3,-1
44,3073.1,4110.4,2334.62,2250.13,3,3,-1
45,3011.3,4013.5,2202.14,2182.16,3,3,-1
46,3101.4,4244.0,2400.12,2515.5,3,3,-1
47,3186.5,4347.2,2528.76,2535.59,3,3,-1
48,3145.0,4271.0,2406.52,2613.01,3,3,-1
49,3219.3,3875.2,2498.6,2476.31,3,3,-1
50,3107.0,2493.0,2547.55,1979.36,3,2,-1
51,3296.8,4631.2,2729.43,3239.71,3,3,-1
52,3872.6,4817.6,2737.33,3780.83,3,3,-1
53,4061.7,4891.7,2860.9,3558.19,3,3,-1
54,3651.5,4624.3,2744.33,3088.94,3,3,-1
55,3942.8,4691.3,2902.03,3122.68,3,3,-1
56,3776.6,4690.8,2892.15,2987.8,3,3,-1
57,3657.6,4561.7,2797.39,2996.02,3,3,-1
58,3742.5,4972.3,2959.2,3078.47,3,3,-1
