gen,best_a,best_b,mean_a,mean_b,max_level_a,max_level_b,team_a_size,team_b_size,n_elite_a,n_elite_b,nb_fork,nb_incantation,nb_broadcast,useful_drops,unuseful_drops,winner
0,2236.5,1436.5,87.92,57.61,2,2,50,50,12,11,60,5,4153,0,197,-1
1,2236.5,2333.2,176.33,152.68,2,2,50,50,25,7,60,3,2568,0,655,-1
2,2274.5,2333.2,260.66,251.16,2,2,50,50,25,14,60,21,3339,0,1109,-1
3,2315.5,2333.2,343.46,356.71,2,2,50,50,20,19,60,28,3648,0,635,-1
4,2436.4,2535.6,434.15,442.54,2,2,50,50,25,22,60,16,4648,0,1072,-1
5,2436.4,2425.6,506.88,476.15,2,2,50,50,25,24,60,3,4843,0,714,-1
6,2436.5,2425.6,573.61,536.73,2,2,50,50,25,25,60,7,5639,0,1016,-1
7,2436.5,2425.6,659.99,618.32,2,2,50,50,25,25,60,30,5270,0,3059,-1
8,2436.5,2425.6,717.86,653.51,2,2,50,50,25,25,60,6,8019,0,836,-1
9,2436.5,2382.9,737.45,699.67,2,2,50,50,25,25,60,8,4076,0,566,-1
10,2436.5,2382.9,770.63,763.06,2,2,50,50,25,25,60,20,4777,0,952,-1
11,2436.5,2382.9,784.06,774.15,2,2,50,50,25,25,60,8,8395,0,748,-1
12,2436.5,2382.9,813.66,765.88,2,2,50,50,25,25,60,7,8122,0,393,-1
13,2447.5,2382.9,869.48,789.34,2,2,50,50,25,25,60,30,6199,0,879,-1
14,2572.0,2411.2,928.66,864.26,2,2,50,50,25,25,60,39,4532,0,2185,-1
15,2572.0,2411.2,945.58,895.79,2,2,50,50,25,25,60,17,4282,0,573,-1
16,2572.0,2428.6,981.54,944.36,2,2,50,50,25,25,60,26,1149,0,1221,-1
17,2572.0,2428.6,1033.88,1007.61,2,2,50,50,25,25,60,19,4687,0,1332,-1
18,2511.2,2411.2,1071.37,1036.57,2,2,50,50,25,25,60,5,6168,0,349,-1
19,2511.2,2477.9,1143.49,1104.53,2,2,50,50,25,25,60,28,3699,0,1179,-1
20,2511.2,2477.9,1192.45,1162.03,2,2,50,50,25,25,60,9,3351,0,811,-1
21,2511.2,2477.9,1250.98,1254.29,2,2,50,50,25,25,60,42,2437,0,1587,-1
22,2511.2,2477.9,1308.66,1326.93,2,2,50,50,25,25,60,46,6872,0,940,-1
23,2511.2,2477.9,1356.13,1406.42,2,2,50,50,25,25,60,62,3033,0,2194,-1
24,2511.2,3280.2,1391.07,1461.77,2,3,50,50,25,25,60,57,9692,31,1259,-1
25,3402.5,3280.2,1437.17,1508.95,3,2,50,50,11,25,60,63,5256,9,1489,-1
26,3402.5,3280.2,1484.44,1576.32,3,2,50,50,15,25,60,54,3972,2,3129,-1
27,3402.5,3280.2,1530.6,1626.67,2,2,50,50,15,25,60,57,4194,0,3510,-1
28,3363.4,3328.8,1570.88,1672.22,3,3,50,50,22,25,60,70,3239,45,2858,-1
29,3377.3,3328.8,1608.65,1681.11,3,3,50,50,21,25,60,76,8667,154,7742,-1
30,3377.3,3443.9,1670.29,1727.84,3,3,50,50,24,6,60,81,8271,111,5205,-1
31,3401.9,3443.9,1711.6,1736.25,3,3,50,50,24,8,60,67,10587,106,6320,-1
32,3401.9,3443.9,1743.76,1756.07,3,3,50,50,25,10,60,80,11236,7,2587,-1
33,3401.9,3443.9,1748.65,1791.29,3,3,50,50,25,10,60,73,3695,134,2969,-1
34,3401.9,3443.9,1773.54,1827.68,3,3,50,50,23,10,60,74,1614,117,5529,-1
35,3401.9,3443.9,1814.88,1857.57,3,3,50,50,23,10,60,76,1546,10,1394,-1
36,3401.9,3346.3,1817.02,1870.64,3,3,50,50,21,25,60,67,5252,64,2726,-1
37,3401.9,3346.3,1850.75,1901.93,2,3,50,50,20,25,60,60,3755,6,1175,-1
38,3253.9,3346.3,1855.63,1907.51,3,2,50,50,25,25,60,59,2438,0,578,-1
39,3253.9,3346.3,1890.91,1953.22,3,3,50,50,25,25,60,43,654,2,279,-1
40,3253.9,3346.3,1931.42,1951.81,2,2,50,50,25,25,60,36,1288,0,335,-1
41,3253.9,3346.3,1927.62,1943.74,2,2,50,50,25,25,60,48,5523,0,789,-1
42,3253.9,3346.3,1928.37,1930.96,2,2,50,50,25,25,60,20,330,0,271,-1
43,3253.9,3346.3,1918.64,1929.14,2,2,50,50,25,24,60,22,381,0,364,-1
44,3253.9,3346.3,1932.79,1926.76,2,2,50,50,25,25,60,43,684,0,387,-1
45,3253.9,3346.3,1912.82,1910.62,2,2,50,50,25,25,60,22,64,0,374,-1
46,3253.9,3346.3,1884.52,1891.8,2,2,50,50,25,23,60,30,622,0,906,-1
47,3410.0,3346.3,1895.26,1901.39,3,2,50,50,15,25,60,44,1502,24,1526,-1
48,3410.0,3346.3,1866.08,1877.76,2,2,50,50,13,25,60,30,1857,0,531,-1
49,3410.0,3346.3,1854.36,1872.7,2,2,50,50,13,25,60,37,3228,0,605,-1
50,3410.0,3346.3,1810.65,1867.21,2,2,50,50,10,25,60,44,2406,0,1562,-1
51,3410.0,3190.5,1810.49,1838.89,2,2,50,50,10,25,60,37,1531,0,1246,-1
52,3410.0,3190.5,1789.75,1823.08,2,2,50,50,10,25,60,25,845,0,996,-1
53,3249.3,3190.5,1796.84,1816.98,2,2,50,50,25,25,60,47,548,0,1167,-1
54,3249.3,3190.5,1803.78,1821.44,2,2,50,50,25,25,60,57,1909,0,1534,-1
55,3231.9,3190.5,1770.77,1781.05,2,2,50,50,25,25,60,43,3800,0,2632,-1
56,2470.5,3190.5,1773.75,1777.12,2,2,50,50,25,25,60,63,1349,0,1777,-1
57,2470.5,3190.5,1770.28,1745.03,2,2,50,50,25,25,60,23,796,0,81,-1
58,2471.8,3190.5,1754.92,1734.17,2,2,50,50,25,25,60,30,745,0,853,-1
59,2471.8,3190.5,1749.22,1730.48,2,2,50,50,25,25,60,33,1724,0,523,-1
60,2471.8,3190.5,1749.03,1720.56,2,2,50,50,25,25,60,26,1418,0,403,-1
61,2471.8,3190.5,1729.04,1710.42,2,2,50,50,25,25,60,26,1066,0,393,-1
62,2663.2,3190.5,1779.98,1725.7,2,2,50,50,25,25,60,47,1647,0,962,-1
63,2663.2,3190.5,1821.17,1735.53,2,2,50,50,25,25,60,45,2427,0,1508,-1
64,2663.2,2474.6,1819.09,1715.0,2,2,50,50,25,25,60,27,1766,0,473,-1
65,2663.2,2474.6,1831.76,1739.2,2,2,50,50,25,25,60,67,1213,0,3040,-1
66,2663.2,2474.6,1834.32,1753.03,2,2,50,50,25,25,60,36,3081,0,885,-1
67,2663.2,2474.6,1830.52,1755.36,2,2,50,50,25,25,60,35,1531,0,972,-1
68,2663.2,2474.6,1849.62,1797.78,2,2,50,50,25,25,60,72,1721,0,2987,-1
69,2663.2,2474.6,1863.34,1833.82,2,2,50,50,25,25,60,59,466,0,2543,-1
70,2488.7,2474.6,1868.05,1844.12,2,2,50,50,25,25,60,40,300,0,1095,-1
71,2488.7,2583.0,1875.7,1857.89,2,2,50,50,25,25,60,45,629,0,1381,-1
72,2488.7,2583.0,1890.14,1860.96,2,2,50,50,25,25,60,55,1390,0,1138,-1
73,2488.7,2583.0,1847.98,1860.01,2,2,50,50,25,25,60,36,4632,0,1362,-1
74,2488.7,2583.0,1807.21,1821.11,2,2,50,50,25,25,60,11,2465,0,224,-1
75,2488.7,2583.0,1797.53,1800.6,2,2,50,50,25,25,60,24,4021,0,309,-1
76,2488.7,2583.0,1768.6,1780.72,2,2,50,50,25,25,60,9,1399,0,303,-1
77,2481.8,2583.0,1751.91,1782.12,2,2,50,50,25,25,60,17,1273,0,614,-1
78,2481.8,2583.0,1711.99,1767.28,2,2,50,50,25,25,60,10,1904,0,158,-1
79,2481.8,2583.0,1715.9,1771.57,2,2,50,50,25,25,60,23,540,0,251,-1
80,2481.8,2583.0,1676.61,1759.3,2,2,50,50,25,25,60,16,2846,0,378,-1
81,2481.8,2583.0,1682.32,1731.29,2,2,50,50,25,25,60,38,2109,0,930,-1
82,2481.8,2583.0,1670.83,1719.3,2,2,50,50,25,25,60,27,4583,0,477,-1
83,2481.8,2583.0,1667.65,1709.05,2,2,50,50,25,25,60,14,1526,0,512,-1
84,2481.8,2583.0,1690.13,1706.98,2,2,50,50,25,25,60,26,2067,0,362,-1
85,2481.8,2583.0,1679.51,1699.34,2,2,50,50,25,25,60,35,4002,0,902,-1
86,2481.8,2583.0,1653.4,1657.61,2,2,50,50,25,25,60,23,3632,0,715,-1
87,2481.8,2583.0,1658.68,1662.31,2,2,50,50,25,25,60,19,2752,0,387,-1
88,2470.5,2583.0,1635.29,1666.93,2,2,50,50,25,25,60,27,4707,0,532,-1
89,2470.5,2583.0,1673.7,1698.58,2,2,50,50,25,25,60,74,3118,0,1834,-1
90,2470.5,2583.0,1696.08,1703.93,2,2,50,50,25,25,60,33,2950,0,914,-1
91,2470.5,2583.0,1710.78,1704.1,2,2,50,50,25,25,60,38,2833,0,876,-1
92,2470.5,2583.0,1744.94,1735.96,2,2,50,50,25,25,60,55,4492,0,1045,-1
93,3327.8,3360.2,1774.81,1787.53,3,3,50,50,25,23,60,76,8338,156,3081,-1
94,3327.8,3360.2,1795.7,1819.44,2,2,50,50,25,22,60,54,1744,0,1648,-1
95,3327.8,3360.2,1812.18,1847.56,3,3,50,50,25,22,60,82,6563,12,4638,-1
96,3495.5,3443.5,1847.78,1878.04,3,3,50,50,5,11,60,81,14296,149,4693,-1
97,3495.5,3443.5,1896.48,1921.5,3,3,50,50,5,14,60,78,13374,300,7256,-1
98,3374.3,3443.5,1843.11,1903.36,1,2,20,50,22,14,30,5,0,0,191,-1
99,3374.3,3443.5,1822.5,1860.24,2,1,50,20,20,13,30,1,0,0,132,-1
100,3327.8,3443.5,1797.25,1825.11,2,2,21,20,25,11,1,4,0,0,305,-1
101,3327.8,3443.5,1743.5,1789.43,1,2,50,50,25,11,60,7,0,0,238,-1
