gen,best_a,best_b,mean_a,mean_b,max_level_a,max_level_b,team_a_size,team_b_size,n_elite_a,n_elite_b,nb_fork,nb_incantation,nb_broadcast,useful_drops,useless_drops,winner
0,1950.9,2330.9,85.11,64.59,2,2,50,50,14,4,60,8,7695,0,599,-1
50,3243.4,3223.4,1671.09,1589.8,3,3,50,50,25,25,60,35,3772,19,184,-1
100,3277.0,3349.6,1838.58,1767.27,2,2,50,50,25,25,60,30,1213,0,310,-1
150,2596.3,2600.0,1881.96,1913.92,2,2,20,20,25,25,0,22,112,0,19,-1
200,3393.0,2500.0,2083.58,2075.92,2,2,20,20,25,25,0,30,0,0,1,-1
250,3250.0,3343.9,2077.09,2092.67,2,3,50,50,25,25,60,60,1,1,45,-1
300,3500.0,3337.1,2158.55,2142.72,2,2,20,20,7,25,0,34,8,0,121,-1
350,3346.6,3250.0,2028.28,2023.19,3,3,50,50,25,25,60,51,1,0,540,-1
400,3242.4,2585.8,2231.92,2185.95,2,2,50,50,25,25,60,86,83,0,848,-1
450,2489.8,2694.0,1776.02,1770.74,2,2,20,20,25,25,0,4,0,0,68,-1
500,2500.0,2450.0,1687.94,1651.8,2,2,20,20,25,25,0,17,0,0,0,-1
550,2600.0,2450.0,1841.0,1888.34,2,2,20,20,25,25,0,19,0,0,0,-1
600,3330.0,2450.0,2001.7,1892.98,2,2,20,20,25,25,0,26,0,0,0,-1
650,3330.0,3350.0,1949.14,1918.31,2,2,20,20,25,25,0,18,0,0,0,-1
700,3291.8,2600.0,2065.26,2095.82,2,2,20,20,25,25,0,32,62,0,10,-1
750,3293.4,3340.0,1904.4,1956.49,2,2,20,20,25,25,0,21,36,0,116,-1
800,3390.0,3350.0,2079.91,2108.6,2,2,20,20,25,25,0,35,125,0,40,-1
850,3400.0,3250.0,2185.23,2175.13,2,2,20,20,25,25,0,33,94,0,76,-1
900,3333.9,3238.9,2159.71,2122.5,3,3,23,20,25,25,3,41,33,1,95,-1
950,3297.7,3309.4,2201.75,2177.82,3,3,50,21,25,25,31,65,77,0,230,-1
1000,3446.7,3382.1,2317.03,2328.6,3,3,50,50,25,25,60,80,129,0,100,-1
1050,3348.5,3347.1,2350.26,2318.02,3,3,50,50,25,25,60,77,112,0,101,-1
1100,3478.5,3437.2,2331.74,2331.61,3,3,50,50,25,25,60,92,348,0,155,-1
1150,2500.0,3250.0,2121.83,2164.18,2,2,20,20,25,25,0,24,0,0,1,-1
1200,3221.0,3371.0,2238.25,2266.67,2,2,24,50,25,25,34,58,133,0,80,-1
1250,3250.5,3379.3,2243.05,2262.63,2,2,23,20,25,25,3,35,964,0,194,-1
1300,3397.7,3385.0,2269.61,2270.47,2,2,20,20,25,25,0,31,293,0,104,-1
1350,3341.2,3336.0,2270.87,2262.44,2,2,20,20,25,25,0,34,262,0,30,-1
1400,3437.9,3482.7,2302.47,2303.38,2,2,24,50,21,15,34,61,541,0,84,-1
1450,3488.6,3381.6,2334.55,2321.46,3,2,25,23,19,25,8,44,233,0,11,-1
1500,3387.3,3307.5,2324.85,2343.63,3,3,50,50,25,25,60,90,790,0,194,-1
1550,3331.8,3388.3,2303.85,2311.48,3,3,21,20,25,25,1,39,872,0,113,-1
1600,3516.8,3373.9,2307.79,2313.24,2,2,50,50,10,25,60,81,921,0,113,-1
1650,3516.8,3484.9,2254.42,2252.64,2,3,50,50,6,19,60,76,292,0,246,-1
1700,3348.4,3359.1,2291.59,2313.18,2,2,50,50,25,25,60,80,960,0,406,-1
1750,3375.3,3431.6,2279.13,2282.57,2,3,50,50,25,25,60,79,817,23,312,-1
1800,3376.5,3364.3,2275.18,2304.77,2,2,50,50,25,25,60,78,627,0,259,-1
1850,3323.6,3404.7,2235.35,2230.08,2,2,50,50,25,25,60,71,1098,0,280,-1
1900,3373.5,3349.8,2245.67,2262.0,2,3,50,50,25,25,60,80,627,2,113,-1
1950,2586.5,3264.7,2249.64,2262.36,2,2,50,50,25,25,60,76,616,0,211,-1
2000,3398.5,3423.9,2295.56,2304.82,3,3,50,50,25,25,60,83,877,7,507,-1
2050,3474.6,3351.1,2313.79,2312.95,2,2,50,50,17,25,60,74,410,0,307,-1
2100,3430.8,3337.3,2255.08,2201.05,2,2,50,50,25,25,60,77,1163,0,621,-1
2150,3412.7,3341.4,2008.88,1969.48,3,3,50,50,25,25,60,57,4643,4,316,-1
2200,3337.1,3356.1,2230.86,2262.33,3,3,50,50,25,25,60,83,1803,6,652,-1
2250,3342.2,3276.9,2141.02,2138.16,2,2,50,50,25,25,60,75,1359,0,1128,-1
2300,3293.0,3462.7,2222.42,2217.27,2,2,50,50,25,18,60,72,368,0,458,-1
2350,3368.0,3272.6,2228.2,2249.27,2,2,50,50,25,25,60,65,101,0,229,-1
2400,3327.9,3305.0,2264.11,2252.65,2,3,50,50,25,25,60,82,533,2,817,-1
2450,3429.7,3383.8,2307.38,2301.63,3,3,50,50,22,25,60,86,752,0,285,-1
2500,3387.7,3387.7,2279.79,2316.23,2,2,50,50,25,25,60,79,656,0,346,-1
2550,3393.5,3242.8,2047.86,2025.71,2,2,50,50,25,25,60,56,82,0,14,-1
2600,3239.4,3530.8,2208.81,2211.2,2,2,50,22,25,4,32,46,186,0,27,-1
2650,3338.6,3314.7,2200.23,2241.41,3,2,50,50,25,25,60,77,251,0,142,-1
2700,3283.0,3326.4,2197.97,2157.72,2,3,50,50,25,25,60,74,563,1,114,-1
2750,3391.7,3368.0,2258.24,2286.92,2,2,50,50,25,25,60,71,149,0,79,-1
2800,3333.0,3403.7,2310.64,2302.9,2,2,50,50,25,25,60,71,285,0,394,-1
2850,3331.6,3432.3,2287.48,2299.18,2,2,50,50,25,25,60,82,438,0,384,-1
2900,3364.1,3326.5,2280.93,2289.42,3,3,50,50,25,25,60,87,309,1,1079,-1
