gen,best_a,best_b,mean_a,mean_b,max_level_a,max_level_b,team_a_size,team_b_size,n_elite_a,n_elite_b,nb_fork,nb_incantation,nb_broadcast,useful_drops,useless_drops,winner
0,2943.7,2133.7,88.31,21.82,2,2,50,50,6,11,60,16,6526,435,524,-1
1,2943.7,2717.1,206.21,133.09,2,2,50,50,10,10,60,25,3370,1468,661,-1
2,2943.7,2517.1,298.79,238.17,2,2,50,50,12,18,60,30,3093,673,741,-1
3,2943.7,2851.1,414.31,329.05,2,2,50,50,19,18,60,43,1924,1078,199,-1
4,2943.7,2851.1,426.64,409.48,2,2,50,50,20,24,60,24,3972,395,423,-1
5,3347.4,3027.4,515.57,521.84,3,3,50,50,11,24,60,51,3660,1308,698,-1
6,3347.4,3027.4,603.68,630.2,2,3,50,50,10,25,60,37,3042,994,467,-1
7,3543.2,3671.4,728.44,770.85,3,3,50,50,9,6,60,55,3276,1268,503,-1
8,3543.2,3671.4,825.76,861.51,3,3,50,50,16,7,60,37,4117,983,361,-1
9,3543.2,3671.4,942.77,958.97,2,2,50,50,19,9,60,43,2539,1547,509,-1
10,3543.2,3671.4,1036.2,1032.99,2,2,50,50,23,9,60,33,3596,1728,101,-1
11,3543.2,3671.4,1052.83,1085.78,2,2,50,50,24,9,60,45,4915,1638,118,-1
12,3804.5,4632.8,1113.49,1153.27,3,3,50,50,13,2,60,44,1737,1964,756,-1
13,3543.2,4632.8,1147.93,1273.68,2,2,50,50,25,2,60,52,1630,1904,840,-1
14,3700.0,4632.8,1207.13,1346.18,2,2,50,50,22,2,60,34,3031,2647,718,-1
15,3700.0,4632.8,1311.25,1425.22,2,2,50,50,25,1,60,39,2427,1896,741,-1
16,3780.0,4632.8,1390.8,1449.69,2,2,50,50,25,1,60,44,2556,2680,402,-1
17,3780.0,4632.8,1472.87,1488.15,3,3,50,50,25,1,60,54,1286,3168,472,-1
18,3780.0,4632.8,1513.49,1491.63,2,2,50,50,25,1,60,28,1552,2417,416,-1
19,3780.0,4632.8,1527.18,1575.84,2,2,50,50,25,1,60,49,119,3071,291,-1
20,3780.0,4632.8,1570.05,1615.61,2,2,50,50,25,1,60,43,271,2328,277,-1
21,6135.7,4632.8,1625.86,1626.62,3,2,50,50,1,1,60,34,484,2920,277,-1
22,6135.7,4632.8,1738.04,1709.38,2,2,50,50,1,3,60,74,400,5870,1606,-1
23,6340.6,4632.8,1868.56,1843.95,3,3,50,50,2,8,60,93,832,8414,1482,-1
24,6340.6,4632.8,1958.42,1896.46,2,2,50,50,2,7,60,81,1045,6928,995,-1
25,6340.6,7577.3,1984.99,2005.82,3,3,50,50,2,1,60,83,3878,10103,1135,-1
26,6340.6,8342.2,2072.72,2144.31,3,3,50,50,2,2,60,87,1125,12151,1028,-1
27,6340.6,8342.2,2115.96,2191.69,3,3,50,50,2,2,60,73,38,4176,426,-1
28,6340.6,7577.3,2161.64,2267.33,3,3,50,50,3,2,60,84,449,8513,384,-1
29,6340.6,6840.4,2177.62,2223.09,2,2,20,20,3,2,0,28,8,1602,98,-1
30,6340.6,6840.4,2155.33,2186.44,2,2,20,20,3,2,0,13,19,1299,435,-1
31,6340.6,6840.4,2091.98,2189.41,2,2,20,22,3,2,2,8,108,978,123,-1
32,6135.7,6840.4,2123.09,2224.58,2,3,50,50,2,1,60,66,778,4525,122,-1
33,6135.7,6840.4,2194.73,2283.91,2,2,50,50,2,1,60,87,822,5632,181,-1
34,6135.7,6840.4,2214.77,2296.14,2,2,50,23,2,1,33,43,418,3422,182,-1
35,6135.7,6840.4,2168.14,2239.5,2,2,20,22,2,1,2,11,161,1558,220,-1
36,6135.7,6840.4,2141.1,2205.36,2,2,23,32,2,1,15,9,155,1845,112,-1
37,6135.7,6840.4,2149.47,2164.87,2,2,20,20,2,1,0,7,40,1532,32,-1
38,6135.7,6840.4,2184.56,2164.65,2,2,50,50,2,1,60,46,398,4333,81,-1
39,6135.7,6840.4,2160.47,2147.9,2,2,22,50,2,1,32,18,21,2027,5,-1
40,6135.7,6840.4,2120.63,2123.9,2,2,20,20,2,1,0,13,25,1166,45,-1
41,6135.7,6840.4,2122.74,2105.93,2,2,20,20,2,1,0,13,12,1092,5,-1
42,6135.7,6840.4,2106.98,2061.87,1,1,22,20,2,1,2,0,0,358,0,-1
43,6135.7,6840.4,2047.2,2005.98,1,1,20,20,2,1,0,0,169,172,3,-1
44,6135.7,6840.4,2003.94,1972.45,1,1,20,20,2,1,0,0,0,41,2,-1
45,6135.7,6840.4,1946.12,1902.14,1,1,20,20,2,1,0,0,2,218,0,-1
46,6135.7,6840.4,1910.68,1842.4,1,1,20,20,2,1,0,0,0,54,2,-1
47,6135.7,6840.4,1866.18,1811.65,1,1,22,20,2,1,2,0,0,123,0,-1
48,6135.7,6840.4,1811.16,1768.99,1,1,20,20,2,1,0,0,0,174,0,-1
49,6135.7,6840.4,1786.96,1751.34,1,1,20,20,2,1,0,0,0,0,0,-1
50,6135.7,6840.4,1763.38,1715.03,2,1,50,50,2,1,60,1,307,3,10,-1
