gen,best_a,best_b,mean_a,mean_b,max_level_a,max_level_b,team_a_size,team_b_size,n_elite_a,n_elite_b,nb_fork,nb_incantation,nb_broadcast,nb_neg_broadcast,nb_pos_broadcast,useful_drops,useless_drops,objective_prog,objective_failed,winner
0,4645.6,1781.85,0.88,-14.98,2,1,50,50,1,11,60,6,6093,5111,0,195,168,2729,121,-1
1,4912.0,5053.8,236.84,162.3,2,2,50,50,10,7,60,39,4735,1868,0,685,267,2949,187,-1
2,4912.0,5053.8,434.7,322.58,2,2,50,50,17,13,60,38,3987,1125,0,716,510,2644,190,-1
3,5002.5,5053.8,600.89,434.98,2,2,50,50,24,17,60,36,5673,2568,0,368,318,2301,109,-1
4,5002.5,4890.75,739.55,560.17,2,2,50,50,25,23,60,27,4395,1526,0,172,188,2946,27,-1
5,5002.5,4890.75,775.2,678.92,2,2,50,50,25,25,60,15,8253,4328,0,109,3,1677,0,-1
6,5002.5,4890.75,808.51,822.14,2,2,50,50,25,25,60,16,8211,3638,0,143,109,1198,0,-1
7,5002.5,4891.55,886.58,972.22,2,2,50,50,25,25,60,27,4404,607,0,417,47,2600,210,-1
8,5002.5,5233.85,1014.26,1125.28,2,3,50,50,25,25,60,49,2824,1251,0,700,239,3000,181,-1
9,5032.2,5233.85,1133.8,1170.49,2,2,50,50,25,25,60,29,4295,803,0,349,17,2956,46,-1
10,5104.0,5233.85,1300.09,1430.15,3,3,50,50,25,25,60,65,2382,996,0,1296,41,4645,1837,-1
11,5104.0,5233.85,1322.69,1474.14,2,2,50,50,25,25,60,14,4009,1962,0,363,45,1747,85,-1
12,5104.0,5233.85,1486.45,1676.99,2,2,50,50,25,25,60,52,2357,749,0,484,143,3883,163,-1
13,5175.7,5233.85,1527.1,1683.17,3,3,50,50,25,25,60,73,4203,2105,0,1424,291,5553,689,-1
14,5175.7,5233.85,1587.34,1604.99,2,3,50,50,25,25,60,63,1578,1005,0,2063,83,4232,3842,-1
15,5175.7,5233.85,1679.26,1761.89,2,2,50,50,25,25,60,35,7176,2079,0,617,0,2341,886,-1
16,5104.0,5233.85,1779.34,1859.62,2,2,50,50,25,25,60,49,4958,376,0,2825,25,3138,922,-1
17,5250.2,9478.2,1717.48,1944.37,3,3,50,50,25,1,60,65,3930,485,0,3380,181,10223,2046,-1
