gen,best_a,best_b,mean_a,mean_b,max_level_a,max_level_b,team_a_size,team_b_size,n_elite_a,n_elite_b,nb_fork,nb_incantation,nb_broadcast,nb_neg_broadcast,nb_pos_broadcast,useful_drops,useless_drops,objective_prog,objective_failed,winner
0,4645.6,1781.85,0.88,-14.98,2,1,50,50,1,11,60,6,6093,5111,0,195,168,2729,121,-1
50,16951.75,18772.95,-777.6,-829.28,2,2,50,50,1,1,60,33,3976,637,0,979,3856,20420,3208,-1
100,4559.35,3887.4,-292.82,-284.47,1,1,50,50,2,2,60,0,3676,2370,0,33,3754,1274,33,-1
150,9244.6,9439.8,3015.82,2901.05,2,2,50,50,2,1,60,42,1798,206,0,177,467,3366,110,-1
200,4916.0,4859.4,1829.35,1640.76,2,2,21,50,25,25,31,2,276,124,0,0,0,2891,926,-1
250,9927.6,9621.2,3771.95,3492.01,3,3,50,50,4,1,60,54,251,7,0,23,184,4209,286,-1
300,9927.6,4873.3,2915.59,2621.28,2,2,50,50,1,25,60,20,1288,138,0,18,412,5022,180,-1
350,4918.7,4848.9,1881.21,1683.14,2,2,50,50,25,25,60,35,150,19,0,141,2766,3681,1300,-1
400,9513.45,5187.55,1864.01,2284.19,2,2,50,50,1,25,60,16,68,0,0,11,437,2214,6698,-1
450,10140.75,4906.55,1858.53,1873.63,1,2,50,50,1,25,60,2,101,20,0,3,0,5065,56,-1
500,4963.25,6729.7,3386.85,3469.42,3,3,50,50,25,1,60,74,448,152,0,340,226,5497,327,-1
550,4942.5,9890.75,3341.68,3358.45,2,2,50,50,25,1,60,31,1474,341,0,224,32,4139,0,-1
600,4872.5,4887.45,2957.76,2781.8,2,2,50,50,25,25,60,47,391,183,0,247,5,3911,61,-1
650,4926.05,4866.15,2289.81,2447.13,2,2,50,50,25,25,60,48,167,15,0,8,0,4386,0,-1
700,4848.55,4969.9,2573.37,3018.19,2,2,50,50,25,25,60,44,123,1,0,44,42,4631,798,-1
750,9884.3,9882.4,3837.77,3996.91,2,2,50,50,1,1,60,69,52,3,0,70,43,4567,171,-1
800,8678.1,9550.0,745.82,794.49,2,2,50,50,1,1,60,39,1,0,0,6,10,182,6935,-1
850,4685.0,4650.0,3.04,22.97,2,2,50,50,24,25,60,42,3,0,0,30,524,742,4391,-1
900,9771.2,9307.4,3008.55,2990.08,2,2,50,50,1,1,60,44,3,0,0,7,4,2013,5011,-1
950,9786.15,8851.0,3578.34,3563.87,2,2,50,50,3,1,60,56,24,2,0,22,303,3995,552,-1
1000,9767.4,9921.05,3264.64,2977.36,3,3,50,50,3,4,60,65,10,0,0,112,45,2838,1572,-1
1050,9748.8,9982.8,3527.49,3273.32,3,3,50,50,3,1,60,64,14,0,0,33,35,3909,1212,-1
1100,9875.25,8916.5,1893.56,1652.63,2,3,50,50,2,2,60,64,4,0,0,20,27,1513,5223,-1
1150,9963.5,8290.7,3320.99,3190.65,2,2,50,50,1,5,60,55,4,0,0,31,19,3744,324,-1
1200,9589.9,9611.5,2943.06,2940.88,2,2,50,50,5,1,60,58,2,0,0,8,1,2092,3692,-1
1250,6669.8,9611.5,953.04,629.43,3,2,50,50,5,1,60,59,0,0,0,7,0,0,7500,-1
1300,5999.9,6238.3,666.32,576.18,2,2,50,50,3,1,60,55,0,0,0,7,3,0,7500,-1
1350,6000.0,7375.3,592.08,752.13,3,2,50,50,6,1,60,70,0,0,0,14,3,0,7500,-1
1400,6139.1,7246.9,741.44,888.37,2,2,50,50,8,2,60,55,0,0,0,102,63,0,8104,-1
1450,6535.1,6129.5,345.05,207.76,3,3,50,50,15,11,60,68,0,0,0,264,60,0,9018,-1
1500,9075.4,8437.4,1199.13,1371.74,3,3,50,50,2,4,60,77,0,0,0,237,188,0,9819,-1
1550,9965.0,9814.6,2827.3,2732.73,3,2,50,50,4,3,60,76,22,0,0,288,368,4389,2297,-1
1600,6171.4,9512.7,-269.26,-447.99,3,3,50,50,9,1,60,73,0,0,0,77,86,0,11598,-1
1650,8684.5,9883.8,1032.93,922.4,3,3,50,50,1,1,60,74,17,0,0,592,317,3806,4104,-1
1700,10031.2,9800.9,3933.5,3607.15,3,3,50,50,8,8,60,64,5,0,0,57,342,840,5698,-1
1750,10073.7,9688.4,2175.02,1900.7,3,3,50,50,1,1,60,64,3,0,0,141,68,1807,3016,-1
1800,10033.9,9802.0,3859.18,3849.84,3,3,50,50,8,2,60,82,115,0,0,149,221,4241,900,-1
1850,9836.5,10069.5,3304.13,3243.77,3,3,50,50,7,4,60,87,1,0,0,423,685,1246,8975,-1
1900,7844.6,8338.1,1364.93,1307.8,3,3,50,50,1,1,60,61,2,0,0,27,57,1357,4510,-1
1950,9961.35,9467.05,1663.73,1520.89,2,2,50,50,1,1,60,65,2,0,0,25,10,1739,3421,-1
2000,8010.3,7545.3,1404.3,1359.12,3,3,50,50,2,1,60,74,3,0,0,54,3,2991,1842,-1
2050,8414.8,8613.8,3050.52,3103.29,2,2,50,50,3,2,60,71,7,0,0,182,11,2777,5094,-1
2100,9496.7,9921.75,3499.7,3544.15,3,3,50,50,6,5,60,69,4,0,0,480,6,2948,2064,-1
2150,8216.7,9664.3,3563.02,3421.98,3,3,50,50,2,3,60,69,4,0,0,15,0,3963,1080,-1
2200,7049.0,5999.0,1137.94,896.04,3,3,50,50,3,4,60,77,0,0,0,14,0,0,7500,-1
2250,8242.1,6009.6,519.59,487.96,2,3,50,50,1,5,60,76,0,0,0,42,0,0,7659,-1
2300,6034.8,6033.9,170.04,182.64,2,2,41,50,3,2,51,55,1,0,0,19,1,813,4936,-1
2350,6043.2,6438.2,515.9,609.21,3,2,25,23,5,4,8,40,0,0,0,34,0,0,3600,-1
2400,6050.0,5800.0,0.9,-166.16,2,2,20,20,3,1,0,29,1,0,0,6,1,394,2797,-1
2450,5670.1,8118.3,256.77,317.97,2,3,20,22,1,1,2,31,0,0,0,98,4,0,3589,-1
2500,5983.0,8133.0,888.92,828.49,2,2,50,50,1,1,60,82,32,5,0,416,413,3333,5004,-1
2550,9156.4,8162.0,458.6,548.33,2,2,50,50,1,3,60,90,26,24,0,1565,1431,1056,11650,-1
2600,7327.4,7557.4,-4013.96,-3648.92,3,3,50,50,1,1,60,96,164,162,0,2095,2190,1366,16791,-1
2650,8274.9,7696.6,-1037.26,-305.45,2,2,34,20,3,1,14,43,49,49,0,465,723,0,5877,-1
2700,8392.6,5488.3,-1140.47,-963.87,3,3,50,50,1,5,60,95,266,263,0,530,1383,776,14544,-1
2750,7484.8,8113.9,-60.61,-205.18,2,2,50,50,1,1,60,88,419,124,0,403,797,3111,7625,-1
2800,8579.8,7763.9,1185.29,747.85,2,3,50,50,1,2,60,82,104,92,0,627,310,2522,9534,-1
2850,9527.05,9729.6,1253.91,1541.68,3,3,50,50,1,2,60,86,325,164,0,681,397,2873,6263,-1
2900,8920.05,6409.8,-2071.68,-2832.39,3,3,50,50,1,3,60,91,230,222,0,1233,885,1690,15317,-1
2950,3382.6,6237.4,-1898.4,-1562.34,3,3,50,50,4,1,60,73,36,30,0,610,793,1828,11832,-1
3000,6041.0,4593.8,-4097.56,-4543.11,3,3,50,50,1,1,60,72,11,11,0,1117,741,0,14931,-1
3050,4827.6,8294.3,-8375.96,-6514.05,3,3,50,50,4,2,60,81,153,113,0,4011,2891,4696,26320,-1
3100,8625.45,9869.75,-4388.59,-4480.25,3,3,50,50,3,2,60,80,234,31,0,5375,1739,3309,16401,-1
3150,9117.15,6462.4,1203.79,1040.65,3,3,50,50,2,2,60,75,716,40,0,4346,1631,8344,3416,-1
3200,10553.95,8776.2,2698.27,2758.06,3,2,50,50,1,1,60,71,1134,58,0,2143,1126,7442,3717,-1
3250,6530.9,8618.5,2627.53,2696.18,3,3,50,50,1,1,60,89,788,95,0,1069,1011,3816,7882,-1
3300,9116.3,9839.25,2343.22,2117.58,2,2,50,50,4,1,60,78,150,56,0,2828,470,3403,6360,-1
3350,9146.15,10458.3,3107.57,2549.29,3,3,50,50,3,2,60,83,385,68,0,3186,438,4774,5719,-1
3400,9728.0,12177.15,2489.04,2359.22,3,3,50,50,3,1,60,86,725,116,0,5198,688,5803,3649,-1
3450,9615.6,9129.95,1503.38,953.72,2,3,50,50,4,2,60,80,445,282,0,1836,413,6429,6670,-1
3500,9980.35,10165.15,742.78,153.49,3,2,50,50,2,1,60,78,415,196,0,2994,509,2385,9982,-1
3550,9850.7,9756.5,-609.17,-780.46,2,3,50,50,4,4,60,65,338,115,0,4255,477,3625,13040,-1
3600,8378.95,10017.3,-281.22,454.46,3,3,50,50,1,1,60,78,393,159,0,8069,685,5162,11120,-1
3650,11444.95,13390.25,2040.34,2437.09,3,3,50,50,3,1,60,75,1180,253,0,7668,723,10641,2318,-1
3700,10473.25,11826.6,2584.91,2503.35,3,3,50,50,3,4,60,86,2764,398,0,8782,778,8745,2795,-1
3750,10182.5,10582.45,3706.61,3662.79,3,3,50,50,7,8,60,83,2000,228,0,5993,1063,9354,3457,-1
3800,10131.7,12266.65,3017.03,3084.46,3,3,50,50,7,2,60,85,581,358,0,1609,206,5801,4370,-1
3850,10595.0,9457.15,1849.18,1735.62,3,3,50,50,5,3,60,89,422,242,0,2887,1036,6524,13607,-1
3900,10098.1,10204.5,1870.43,1609.66,2,3,50,50,7,5,60,81,637,285,0,2585,717,7089,5822,-1
3950,10229.2,9920.1,563.11,487.71,3,3,50,50,5,1,60,87,833,457,0,3357,855,9502,17738,-1
