gen,best_a,best_b,mean_a,mean_b,max_level_a,max_level_b,team_a_size,team_b_size,n_elite_a,n_elite_b,nb_fork,nb_incantation,nb_broadcast,nb_neg_broadcast,nb_pos_broadcast,useful_drops,useless_drops,objective_prog,objective_failed,teammates_reach,winner
0,4946.9,4375.9,67.3,83.54,2,2,50,50,2,3,60,8,7743,5556,1203,274,14,49,0,2108,-1
50,10122.0,9821.3,960.24,1124.6,2,2,50,50,1,2,60,28,9871,9705,75,828,220,21,3,288,-1
100,10338.3,10106.5,4278.41,4461.68,2,2,50,50,5,5,60,64,2656,1611,191,469,232,1952,3,8298,-1
150,10132.3,10106.4,3978.51,3822.78,3,2,50,50,7,2,60,62,3390,1176,195,107,2,1997,0,9082,-1
200,5231.5,10181.9,3794.43,3466.33,2,2,50,50,25,1,60,54,5374,382,1,252,0,1064,2,1709,-1
250,6823.0,10263.0,3542.58,3584.99,2,2,50,50,11,2,60,28,3051,2664,97,629,5,261,1,553,-1
300,6485.7,5166.0,2156.84,1956.42,2,2,50,50,1,25,60,9,312,106,0,125,0,70,0,80,-1
350,10014.0,10341.3,3601.66,3772.84,2,2,50,50,4,5,60,42,0,0,0,0,2,0,0,2171,-1
400,9860.7,5024.7,1854.88,1781.59,2,1,21,20,1,25,1,1,0,0,0,0,0,0,0,2,-1
450,10037.3,9481.3,3169.39,3321.42,2,2,50,50,2,1,60,65,1226,268,1,10,2,1369,20,3324,-1
500,9803.0,9853.0,4324.59,4344.9,2,2,20,20,3,4,0,31,0,0,0,0,0,0,0,429,-1
550,5228.3,9699.3,4404.9,4383.64,2,2,50,20,25,1,30,46,15,15,0,80,0,0,0,6091,-1
600,10186.8,9930.2,3758.13,3572.23,2,2,39,24,2,3,23,42,3,3,0,0,0,0,0,7481,-1
650,5130.8,10197.6,2277.72,2434.53,2,2,50,50,25,1,60,12,282,282,0,1,37,0,0,610,-1
700,5067.7,5098.1,2720.53,2733.01,2,2,50,50,25,25,60,43,1727,731,10,97,50,1358,5,3065,-1
750,5520.1,5515.0,4390.04,4390.96,3,3,50,50,25,25,60,57,2204,1413,72,861,71,1336,4,6064,-1
800,10209.1,10431.7,4340.57,4323.0,2,2,27,50,2,1,37,22,11,4,0,7,0,44,0,9180,-1
850,9925.7,10449.7,3769.75,3747.24,2,2,50,50,1,2,60,30,5,3,1,94,0,0,0,12088,-1
900,11138.4,10501.3,4164.17,4012.58,3,3,50,50,2,2,60,67,5682,1935,245,1698,6,1632,1,13998,-1
950,10574.0,10498.8,4928.1,5054.18,3,3,50,50,10,7,60,60,487,117,12,142,0,460,0,13899,-1
1000,10192.8,10313.5,4265.84,4233.08,2,2,50,50,6,5,60,65,13334,5111,1152,442,0,1071,11,7715,-1
1050,10218.0,10350.0,3906.28,4103.4,2,2,50,50,1,3,60,53,3275,2341,7,142,0,679,1,8119,-1
1100,7634.0,10448.6,3880.49,4052.23,2,2,50,50,2,6,60,71,2664,2654,4,22,0,109,2,11760,-1
1150,10276.5,10997.1,3787.52,3651.35,2,3,50,50,5,2,60,79,8373,6973,358,186,0,1198,12,14589,-1
1200,10861.5,10934.1,4269.26,4195.52,2,2,50,50,7,4,60,75,2900,2148,78,272,0,1807,0,14779,-1
1250,10213.3,10244.0,4298.17,4217.36,2,2,23,21,2,3,4,26,236,152,11,2,0,241,0,5340,-1
1300,5143.7,5162.0,2548.12,2585.63,2,1,20,20,25,25,0,1,0,0,0,0,0,0,0,4999,-1
1350,5196.0,5146.0,2709.56,2450.33,2,2,20,20,25,25,0,10,0,0,0,0,0,0,0,4989,-1
1400,5196.0,10242.0,4258.67,4161.79,2,2,21,27,25,1,8,40,41,12,0,1,0,167,0,5729,-1
1450,10285.2,10238.0,4511.01,4377.68,2,2,20,20,2,2,0,32,0,0,0,8,0,0,0,4913,-1
1500,10285.2,5296.0,3578.73,3466.82,3,2,20,20,3,25,0,13,5,5,0,0,0,0,0,4981,-1
1550,5146.0,5246.0,3189.22,3078.18,2,2,20,20,25,25,0,11,85,85,0,16,0,0,0,4868,-1
1600,5396.0,5328.0,2910.31,3091.91,2,2,20,20,25,25,0,9,184,184,0,60,0,0,0,4676,-1
1650,5226.3,5246.0,3278.04,3167.21,2,2,20,20,25,25,0,16,241,241,0,34,0,0,0,4642,-1
