gen,best_a,best_b,mean_a,mean_b,max_level_a,max_level_b,team_a_size,team_b_size,n_elite_a,n_elite_b,nb_fork,nb_incantation,nb_broadcast,nb_neg_broadcast,nb_pos_broadcast,useful_drops,useless_drops,objective_prog,objective_failed,teammates_reach,winner
0,4669.275,4955.15,31.08,21.09,2,2,50,50,4,2,60,14,8288,6813,0,909,237,124,1,900,-1
1,4894.975,4955.15,209.57,141.92,2,2,50,50,11,7,60,20,5460,2667,0,2862,339,659,2,1338,-1
2,4894.975,4963.3,303.97,401.7,2,2,50,50,14,18,60,33,3961,2862,0,1877,750,889,9,5891,-1
3,4894.975,4998.95,523.94,591.22,2,2,50,50,24,25,60,37,2538,773,0,2401,957,855,8,3240,-1
4,4894.975,5001.05,620.82,764.69,2,2,50,50,25,25,60,32,4056,1961,0,983,339,1091,3,4242,-1
5,4894.975,5001.05,681.78,948.05,2,2,50,50,25,25,60,28,2872,855,0,1428,402,1501,4,1302,-1
6,5020.25,5001.05,875.54,1099.7,2,2,50,50,25,25,60,42,3702,1848,0,1932,365,1449,4,2818,-1
7,5020.25,5056.1,1050.16,1224.3,2,2,50,50,25,25,60,32,2568,303,0,1601,344,1016,4,2329,-1
8,5020.25,5056.1,1204.59,1402.17,2,3,50,50,25,25,60,31,5207,587,0,1215,537,699,2,1885,-1
9,9171.9,10218.9,1247.97,1548.85,3,3,50,50,1,1,60,33,3501,858,0,1287,420,1833,7,2318,-1
10,9171.9,10218.9,1298.3,1515.87,2,2,50,50,1,1,60,17,7908,2497,0,342,3,520,0,1151,-1
11,9171.9,5001.05,1258.01,1514.98,1,1,50,50,1,25,60,0,4538,386,0,340,0,0,0,164,-1
12,9171.9,5001.05,1241.84,1489.86,2,1,50,50,1,25,60,1,2937,400,0,653,0,0,0,815,-1
13,9171.9,4974.85,1266.73,1552.77,2,2,50,50,1,25,60,5,1099,59,0,439,3,108,0,1291,-1
14,9171.9,4974.85,1419.35,1671.59,2,2,50,50,1,25,60,31,652,189,0,183,4,1603,0,4311,-1
15,9171.9,4974.85,1417.88,1632.52,1,1,50,50,1,25,60,0,1941,619,0,172,0,0,0,1146,-1
16,9171.9,4974.85,1378.68,1465.52,1,1,50,50,1,25,60,0,3584,2699,0,474,0,0,0,253,-1
17,9171.9,4974.85,1318.56,1445.01,2,2,50,50,1,25,60,6,2960,1297,0,351,13,406,1,4706,-1
18,9171.9,4974.85,1347.23,1430.12,2,2,50,50,1,25,60,1,1486,471,0,134,10,97,0,9243,-1
19,9171.9,4974.85,1379.94,1450.93,2,2,50,50,1,25,60,6,71,12,0,29,87,59,0,11980,-1
20,9171.9,4974.85,1476.08,1513.87,2,2,50,50,1,25,60,6,53,13,0,2,33,1,0,11992,-1
21,9171.9,4974.85,1508.56,1571.96,2,2,50,50,1,25,60,15,595,6,0,56,39,437,0,10891,-1
22,9171.9,4974.85,1583.67,1629.84,2,2,50,50,1,25,60,15,207,1,0,106,23,558,0,10205,-1
23,9171.9,4974.85,1597.18,1690.37,2,2,50,32,1,25,42,11,91,1,0,16,6,190,0,9718,-1
24,9171.9,4974.85,1614.32,1718.42,2,2,50,21,1,25,31,5,2,0,0,35,1,2,0,8625,-1
25,9171.9,4974.85,1621.97,1737.49,2,2,50,22,1,25,32,3,76,18,0,7,15,0,0,7873,-1
26,9171.9,4974.85,1599.74,1710.75,3,2,50,50,1,25,60,9,1781,287,0,94,63,835,0,4963,-1
27,9171.9,4974.85,1563.07,1707.79,2,2,50,50,1,25,60,15,5592,1067,0,64,73,916,0,1796,-1
