gen,best_a,best_b,mean_a,mean_b,max_level_a,max_level_b,team_a_size,team_b_size,winner
0,2290.0,2240.0,123.9,124.71,2,2,50,50,-1
1,2233.7,2133.7,113.71,113.16,2,2,50,50,-1
2,2296.5,2296.5,120.94,114.13,2,2,50,50,-1
3,2219.5,2219.5,117.16,118.83,2,2,50,50,-1
4,2283.1,2282.6,132.53,119.92,2,2,50,50,-1
5,2296.8,2348.7,122.77,112.75,2,2,50,50,-1
6,2333.2,2283.2,120.73,123.14,2,2,50,50,-1
7,2329.1,2344.2,122.69,142.89,2,2,50,50,-1
8,2285.6,2235.6,117.67,113.66,2,2,50,50,-1
9,2237.5,2289.2,123.58,132.6,2,2,50,50,-1
10,2369.9,2250.0,119.63,125.0,2,2,50,50,-1
11,2286.9,2250.0,118.75,122.81,2,2,50,50,-1
12,1599.4,2249.1,107.53,123.93,1,2,50,50,-1
13,2138.6,2288.6,111.37,119.29,2,2,50,50,-1
14,2287.5,2137.5,125.61,116.72,2,2,50,50,-1
15,2337.1,2287.1,122.63,130.18,2,2,50,50,-1
16,2232.8,2234.7,139.93,138.11,2,3,50,50,-1
17,2344.6,2238.3,132.42,144.14,2,2,50,50,-1
18,2394.7,2331.6,153.61,139.45,2,2,50,50,-1
19,2410.8,3160.8,163.65,167.22,2,3,50,50,-1
20,2324.3,2300.0,152.48,144.66,2,2,50,50,-1
21,2301.0,2337.3,152.31,141.37,2,2,50,50,-1
22,3175.6,3137.4,161.78,153.19,3,3,50,50,-1
23,2331.2,2319.1,147.1,159.01,2,2,50,50,-1
24,2316.2,2316.2,151.2,152.59,2,3,50,50,-1
25,3131.4,3140.0,161.67,153.09,3,3,50,50,-1
26,2286.9,2340.6,168.06,166.85,2,2,50,50,-1
27,2261.0,2468.6,161.47,164.38,2,2,50,50,-1
28,2480.3,2280.3,160.18,152.56,2,2,50,50,-1
29,2386.6,2336.6,142.81,150.03,2,2,50,50,-1
30,2371.6,2382.6,151.66,156.54,2,2,50,50,-1
31,2385.7,2385.7,155.71,163.62,2,2,50,50,-1
32,3137.3,3187.3,162.83,173.62,3,3,50,50,-1
33,2337.6,2237.6,153.89,142.46,2,2,50,50,-1
34,2326.8,2474.1,139.2,146.57,2,2,50,50,-1
35,2279.0,2371.6,156.2,166.91,2,2,50,50,-1
36,2265.8,2365.8,152.44,161.06,3,3,50,50,-1
37,2334.0,2484.0,161.02,158.85,2,2,50,50,-1
38,3171.5,3121.5,173.19,165.46,3,3,50,50,-1
39,2383.1,2383.1,151.94,161.12,2,2,50,50,-1
40,2339.2,2341.9,154.74,139.15,2,2,50,50,-1
41,2378.1,2478.1,170.97,157.97,3,2,50,50,-1
42,2337.3,2337.3,134.98,150.83,2,2,50,50,-1
43,2360.1,2405.6,157.61,157.07,2,2,50,50,-1
44,2331.6,3131.6,142.94,154.43,2,3,50,50,-1
45,2468.5,2368.5,164.52,143.69,2,2,50,50,-1
46,2362.6,3200.0,136.39,163.19,2,3,50,50,-1
47,2335.1,2385.1,161.22,153.04,2,2,50,50,-1
48,2322.3,2372.3,151.74,146.56,2,2,50,50,-1
49,3109.3,2309.3,157.98,132.31,3,3,50,50,-1
50,2387.2,2288.1,148.87,147.82,2,2,50,50,-1
51,3188.1,3138.1,138.7,141.45,3,3,50,50,-1
52,2396.8,2336.5,160.05,157.03,2,2,50,50,-1
53,3102.6,2352.6,155.4,164.66,3,2,50,50,-1
54,2246.0,2346.0,162.37,156.46,2,2,50,50,-1
55,2487.2,2387.2,159.85,165.4,2,2,50,50,-1
56,2334.2,3184.2,157.72,166.61,3,3,50,50,-1
57,2368.5,2368.5,164.75,161.14,2,2,50,50,-1
58,2483.7,2383.7,174.11,178.49,2,2,50,50,-1
59,2394.5,2287.2,169.03,154.36,2,2,50,50,-1
60,2343.1,2393.1,142.25,158.65,2,2,50,28,-1
61,2237.9,2337.9,132.24,143.23,2,2,50,50,-1
62,2347.9,2297.9,152.43,157.04,2,2,50,50,-1
63,2250.0,2390.5,139.28,153.24,2,2,50,50,-1
64,2337.0,2337.0,163.01,137.76,2,2,50,50,-1
65,2233.0,2333.0,137.84,161.85,3,2,50,50,-1
66,2376.9,2426.9,163.56,130.36,2,2,50,50,-1
67,3137.0,3137.0,166.43,156.41,3,3,50,50,-1
68,2275.9,2491.3,152.69,160.91,2,2,50,50,-1
69,3173.5,2323.5,165.26,165.76,3,2,50,50,-1
70,2386.2,2286.7,168.41,160.41,2,2,50,50,-1
71,2390.4,2390.4,165.31,153.25,2,2,50,50,-1
72,2381.9,2281.9,169.04,168.23,2,2,50,50,-1
73,2279.7,2379.7,171.66,164.26,2,2,50,50,-1
74,2268.3,2377.2,169.79,166.4,3,3,50,50,-1
75,2377.3,2377.3,168.87,168.88,3,2,50,50,-1
76,2350.0,2333.4,163.79,168.83,2,2,50,50,-1
77,3278.2,3178.2,174.35,183.91,3,3,50,50,-1
78,3121.4,3338.7,179.37,180.37,3,3,50,50,-1
79,2310.4,2362.5,173.86,164.48,3,3,50,50,-1
80,2389.9,2392.0,166.6,158.4,2,2,50,50,-1
81,2387.8,2387.8,154.43,161.27,2,2,50,28,-1
82,2290.9,2340.9,155.67,155.29,2,2,50,50,-1
83,2389.0,2289.0,156.97,150.16,2,2,50,50,-1
84,2377.3,2374.8,151.91,161.05,2,2,50,50,-1
85,2381.8,2395.4,157.59,158.75,2,2,50,50,-1
86,2456.2,2400.0,162.21,157.51,2,2,50,50,-1
87,2325.8,2375.8,161.18,157.74,2,2,50,50,-1
88,2391.8,2291.7,161.34,169.06,2,2,50,50,-1
89,2305.5,2324.0,159.56,152.72,2,2,50,50,-1
90,2374.7,2374.7,155.37,159.12,2,2,50,50,-1
91,2342.2,2343.7,150.64,150.63,2,3,50,50,-1
92,2444.8,2344.8,162.81,168.75,2,2,50,50,-1
93,2382.9,2475.2,153.8,149.15,2,2,50,50,-1
94,2362.3,2486.9,165.13,156.99,2,2,50,50,-1
95,2364.9,2360.7,155.87,141.08,2,2,50,50,-1
96,2391.1,2333.9,167.34,148.92,2,2,50,50,-1
97,2250.3,2364.2,158.38,158.34,2,2,50,50,-1
98,2456.4,2356.4,143.38,156.34,2,2,50,50,-1
99,2285.2,2390.0,146.11,161.58,2,2,50,50,-1
100,2484.7,2361.3,169.85,168.44,2,2,50,50,-1
101,3216.7,2332.5,179.62,169.37,3,3,50,50,-1
102,3136.6,3172.3,170.63,168.43,3,3,50,50,-1
103,2335.0,2344.9,162.48,164.22,2,2,50,50,-1
104,2298.9,2348.9,162.23,163.62,2,2,50,50,-1
105,2379.1,2368.8,177.58,164.42,2,3,50,50,-1
106,2368.4,2368.4,171.87,170.3,2,2,50,50,-1
107,2472.7,2322.7,170.28,162.4,2,2,50,50,-1
108,2388.9,2332.3,168.35,164.97,2,3,50,50,-1
109,2387.9,2237.9,163.43,158.03,2,2,50,21,-1
110,3136.9,2386.9,176.75,170.95,3,2,50,50,-1
111,2341.5,2491.5,172.92,175.72,2,2,21,50,-1
112,2287.6,2387.6,176.61,176.81,3,3,50,50,-1
113,2393.6,2393.6,178.89,177.69,2,2,21,50,-1
114,2400.0,2500.0,178.6,171.2,2,2,20,20,-1
115,2333.0,2333.0,173.84,168.24,2,2,49,24,-1
116,2329.0,2229.0,171.52,172.32,3,2,50,21,-1
117,2389.5,2339.5,167.76,170.96,2,2,50,23,-1
118,2386.4,2386.4,181.11,173.61,2,2,50,25,-1
119,2392.8,2342.8,161.85,163.64,2,2,20,20,-1
120,2361.9,2361.9,163.62,172.17,2,2,50,36,-1
121,2285.2,2235.2,174.1,169.02,2,2,22,21,-1
