gen,best_a,best_b,mean_a,mean_b,max_level_a,max_level_b,team_a_size,team_b_size,n_elite_a,n_elite_b,winner
0,1586.8,1586.8,263.38,269.36,2,2,50,50,10,10,-1
1,2336.3,2337.3,293.28,287.28,2,2,50,50,5,5,-1
2,2468.4,2318.0,356.2,360.67,2,2,50,50,10,10,-1
3,2436.8,2436.8,368.97,387.01,2,2,50,50,10,10,-1
4,2488.7,2442.2,366.74,378.44,2,2,50,50,10,10,-1
5,2498.8,2497.8,387.27,397.66,2,2,50,50,10,10,-1
6,2438.2,2538.2,392.14,452.74,2,2,50,50,10,10,-1
7,3274.7,3354.7,419.19,401.99,3,3,50,50,7,4,-1
8,3341.6,2486.6,468.92,397.59,3,2,50,50,6,10,-1
9,2338.7,2438.7,356.27,330.45,2,2,50,50,10,8,-1
10,2447.3,2347.8,306.5,319.48,2,2,50,50,6,6,-1
11,2387.6,2387.6,372.11,399.32,2,2,50,50,10,10,-1
12,2375.4,2475.4,412.04,387.13,2,3,50,50,10,10,-1
13,3398.9,3224.6,435.11,394.12,3,3,50,50,2,10,-1
14,2246.6,2496.6,278.32,366.32,2,2,50,50,10,10,-1
15,2478.1,2478.1,410.06,417.15,2,2,50,50,10,10,-1
16,2436.1,2386.4,370.86,375.77,2,2,50,50,10,10,-1
17,3350.0,2495.7,464.69,473.02,3,2,50,50,7,10,-1
18,2500.0,3424.1,439.5,458.22,2,3,50,50,10,2,-1
19,2586.4,2578.1,463.56,464.98,3,2,50,50,10,10,-1
20,2482.7,3519.1,457.42,480.78,3,3,50,50,10,2,-1
21,3490.8,2487.3,490.82,456.46,3,3,50,50,2,10,-1
22,3280.8,3220.3,436.9,464.45,3,3,50,50,10,10,-1
23,2489.3,2386.8,345.05,358.72,2,2,50,50,10,10,-1
24,2486.4,2435.3,400.16,395.96,2,2,50,50,10,10,-1
25,2459.8,2457.0,453.45,413.7,3,3,50,50,10,10,-1
26,2583.2,2476.2,437.3,448.51,2,2,50,50,10,10,-1
27,2472.0,2584.0,452.41,423.65,2,3,50,50,10,10,-1
28,2395.7,2450.0,422.43,418.67,3,2,50,50,10,10,-1
29,2486.6,2341.1,452.27,442.44,2,2,50,50,10,10,-1
30,2385.6,2390.7,405.34,392.32,2,2,50,50,10,10,-1
31,2485.4,3361.4,462.07,460.5,2,3,50,50,10,7,-1
32,3431.6,2484.5,455.2,407.47,3,3,50,50,4,10,-1
33,2385.6,2483.9,427.97,434.57,2,2,50,50,10,10,-1
34,3335.4,3338.9,469.53,488.33,3,3,50,50,6,6,-1
35,2431.5,3532.7,448.87,464.81,3,3,50,50,10,1,-1
36,2415.5,3181.7,449.21,443.47,3,3,50,50,10,10,-1
37,3616.7,2419.8,445.56,445.22,3,3,50,50,1,10,-1
38,3360.3,2597.6,434.35,466.19,3,3,50,50,4,10,-1
39,3274.4,3239.8,452.86,463.57,3,3,50,50,7,10,-1
40,2500.0,2477.9,433.46,422.96,2,2,50,50,10,10,-1
41,3520.1,3673.3,470.99,510.1,3,3,50,50,1,5,-1
42,2396.4,2396.4,338.79,370.36,2,2,50,50,8,10,-1
43,2443.1,2343.1,341.13,353.7,2,2,50,50,8,10,-1
44,2565.2,2520.3,430.83,425.03,2,2,50,50,10,10,-1
45,2392.4,3233.0,410.27,428.91,3,3,50,50,10,10,-1
46,3517.3,3438.5,463.83,468.82,3,3,50,50,2,4,-1
47,3416.4,2400.0,478.75,434.48,3,3,50,50,2,10,-1
48,3676.6,3908.0,469.37,474.54,3,3,50,50,1,1,-1
49,3386.0,3415.8,463.81,469.2,3,3,50,50,4,3,-1
50,3329.9,3233.3,472.22,473.81,3,3,50,50,10,10,-1
51,3814.4,3576.3,483.4,452.03,3,3,50,50,3,1,-1
52,3780.0,3616.3,506.86,503.09,3,3,50,50,4,4,-1
53,4025.1,4219.7,532.68,478.17,3,3,50,50,5,2,-1
54,4129.0,4721.3,480.4,519.58,3,3,50,50,2,2,-1
55,3767.8,4250.0,493.26,495.25,3,3,50,50,3,2,-1
56,3811.0,3444.4,524.57,489.52,3,3,50,50,5,6,-1
57,3769.1,3769.1,477.03,476.69,3,3,50,50,1,1,-1
58,3645.0,3554.0,503.24,491.23,3,3,50,50,3,3,-1
59,3997.9,2587.1,540.41,462.31,3,3,50,50,5,10,-1
60,3503.9,3368.6,471.85,469.6,3,3,50,50,1,5,-1
61,3630.3,3739.0,482.59,497.36,3,3,50,50,1,3,-1
62,3984.3,3706.7,528.14,555.32,3,3,50,50,5,8,-1
63,3805.9,4026.9,498.56,484.06,3,3,50,50,4,2,-1
64,3443.9,2491.4,474.35,466.12,3,3,50,50,3,10,-1
65,2494.1,2477.2,446.49,443.7,2,2,50,50,10,10,-1
66,2596.2,2490.9,465.81,471.59,2,2,50,50,10,10,-1
67,3234.5,2499.8,477.37,465.81,3,3,50,50,10,10,-1
68,2386.7,2574.7,427.75,451.05,2,2,50,50,10,10,-1
69,2588.5,2488.5,427.35,380.76,2,2,50,50,10,10,-1
70,3377.4,3222.4,475.3,470.21,3,3,50,50,2,10,-1
71,3299.2,2589.8,465.47,469.68,3,2,50,50,9,10,-1
72,3346.5,3710.0,485.98,505.75,3,3,50,50,6,4,-1
73,2497.7,3142.1,471.11,462.73,3,3,50,50,10,10,-1
74,2491.0,2534.4,465.53,456.66,2,2,50,50,10,10,-1
75,3477.0,3247.5,487.63,476.48,3,3,50,50,5,10,-1
76,3219.9,3675.3,476.06,537.58,3,3,50,50,10,7,-1
77,2481.8,3634.2,447.32,470.0,3,3,50,50,10,1,-1
78,2478.7,3237.7,463.74,480.64,3,3,50,50,10,10,-1
79,2498.9,2477.1,467.1,463.13,2,2,50,50,10,10,-1
80,2435.0,2499.4,459.38,455.78,2,2,50,50,10,10,-1
81,3629.8,3707.7,483.9,518.51,3,3,50,50,2,5,-1
82,3654.1,3544.1,492.93,484.24,3,3,50,50,2,3,-1
83,2592.6,2485.4,461.17,441.81,2,2,50,50,10,10,-1
84,3575.6,3464.1,504.67,497.03,3,3,50,50,3,3,-1
85,3502.4,3522.4,521.51,522.97,3,3,50,50,6,6,-1
86,2487.3,3855.2,456.39,496.0,3,3,50,50,10,3,-1
87,4344.3,3536.4,550.45,484.71,4,4,50,50,6,2,-1
88,3687.3,3482.0,505.55,506.13,3,3,50,50,4,7,-1
89,3461.9,3507.2,486.14,495.37,3,3,50,50,3,3,-1
90,2444.7,3408.3,458.6,492.6,3,3,50,50,10,4,-1
91,3777.4,3666.3,487.05,518.88,3,3,50,50,3,5,-1
92,3664.0,3363.0,476.65,478.77,3,3,50,50,2,7,-1
93,2393.4,2345.4,455.61,432.54,3,2,50,50,10,10,-1
94,3333.7,2484.3,471.34,428.17,3,2,50,50,9,10,-1
95,3475.3,3559.2,459.14,466.13,3,3,50,50,1,2,-1
96,3498.6,2593.6,454.35,380.25,3,3,50,50,1,10,-1
97,2347.0,2347.0,401.96,375.4,2,2,50,50,10,10,-1
98,2399.5,2393.3,418.85,396.76,2,3,50,50,10,10,-1
99,2396.7,2497.1,378.38,360.87,2,2,50,50,10,10,-1
100,2446.6,2396.6,409.96,430.42,2,2,50,50,10,10,-1
101,2346.9,2493.8,406.58,440.67,2,2,50,50,10,10,-1
102,3529.9,3367.7,484.11,480.97,3,3,50,50,2,7,-1
103,3595.8,2488.2,469.85,453.88,3,2,50,50,1,10,-1
104,3238.8,3343.6,440.8,490.81,3,3,50,50,10,6,-1
105,3371.4,3346.9,499.78,477.97,3,3,50,50,9,5,-1
106,3634.5,3554.8,475.72,478.29,3,3,50,50,1,2,-1
107,3632.8,3467.6,539.81,483.22,3,3,50,50,8,3,-1
108,3476.4,3496.9,518.44,469.99,3,3,50,50,7,4,-1
109,3355.0,2593.5,474.13,467.05,3,2,50,50,5,10,-1
110,3364.2,2544.8,484.7,471.65,3,3,50,50,9,10,-1
111,2481.9,3260.9,450.83,479.17,3,3,50,50,10,10,-1
112,3548.3,2439.9,434.26,460.75,3,2,50,50,2,10,-1
113,3514.9,3393.8,450.91,411.52,3,3,50,50,1,4,-1
114,2497.5,3503.9,461.2,457.38,3,3,50,50,10,3,-1
115,3651.6,3383.0,483.69,469.52,3,3,50,50,1,6,-1
116,3661.5,3339.6,484.79,476.96,3,3,50,50,2,8,-1
117,2497.2,2577.0,454.92,456.24,3,3,50,50,10,10,-1
118,2576.4,3385.5,459.7,486.36,2,3,50,50,10,6,-1
